PATTERN,FUNDAMENTAL,STAGE 1 (Foundation),STAGE 2 (Mastery),STAGE 3 (Elite),PATHWAYS (Specialization)
1. Horizontal Push,Push-Ups,"Knee Push-Ups, Negatives, Plank","Diamond, Archer, Wide, Deficit, Rings","Pseudo Planche Lean, Protracted PU",Planche (Tuck → Straddle → Full)
2. Horizontal Pull,Inverted Rows,"High Rows, Scap Rows, Active Hang","Parallel Rows, Archer Rows, Feet-Elevated","Front Lever Rows, Ice Cream Maker","Front Lever (Tuck → Full), One-Arm PU"
3. Downward Press,Parallel Bar Dips,"Bench Dips, Negatives, Support Hold","Ring Dips, L-Sit Dips, RTO","Korean Dips, Muscle-Up (Dip Component)",Iron Cross (Band → Full)
4. Vertical Pull,Pull-Ups,"Scap Pull-Ups, Band-Assisted, Negatives","Chin-Ups, Archer PU, L-Sit PU, Wide Grip","One-Arm PU Eccentrics, Muscle-Up (Pull)","One-Arm Pull-Up, Weighted PU (+90 lbs)"
5. Overhead Press,Pike Push-Ups,"Wall Walks, Pike Push-Ups, DFD","Wall HSPU (Partial), Wall HSPU (Full)","Deficit HSPU, Freestanding HSPU","Press to HS, 90° HSPU, Weighted HSPU"
6. Knee-Dominant,Bodyweight Squat,"Box Squats, Assisted, Deep Squat Hold","Tempo Squats, Jump Squats, Split Squats","Pistol Negatives, Assisted Pistol","Full Pistol, Weighted Pistol"
7. Hip-Dominant,Hip Bridge,"Glute Bridge, Single-Leg, Bridge Hold","Tabletop Bridge, Full Bridge, Nordic Curls","Bridge Push-Ups, Bridge to Stand","Bridge to HS, Hollowback HS"
--- CROSS-CUTTING ---,,,,,
Handstands,Inverted Balance,"Wall Walks, CTW Holds, BTW Holds","Kick-Ups, Freestanding Attempts, Balance Drills","Freestanding (30-60s), HS Walking, Shapes","Press to HS, One-Arm HS, Canes"
Core,Anti-Extension,"Hollow Body, Arch Body, Plank","L-Sit, V-Ups, Hanging Leg Raises","Dragon Flag, Windshield Wipers, Ab Wheel","Dragon Flag Mastery, Advanced Compression"
Scapular,Protraction/Retraction,"Scap Push-Ups, Scap Rows, Active Hang","CTW HS Shrugs, Ring Support",Advanced Scapular Control,Elite Scapular Strength
